Games: 100, Wins: 15
Win Rate: 0.15, Win Rate Per Hundred Games: 0.15
Games: 200, Wins: 47
Win Rate: 0.235, Win Rate Per Hundred Games: 0.32
Games: 300, Wins: 93
Win Rate: 0.31, Win Rate Per Hundred Games: 0.46
Games: 400, Wins: 147
Win Rate: 0.3675, Win Rate Per Hundred Games: 0.54
Games: 500, Wins: 188
Win Rate: 0.376, Win Rate Per Hundred Games: 0.41
Games: 600, Wins: 240
Win Rate: 0.4, Win Rate Per Hundred Games: 0.52
Games: 700, Wins: 278
Win Rate: 0.397143, Win Rate Per Hundred Games: 0.38
Games: 800, Wins: 323
Win Rate: 0.40375, Win Rate Per Hundred Games: 0.45
Games: 900, Wins: 363
Win Rate: 0.403333, Win Rate Per Hundred Games: 0.4
Games: 1000, Wins: 403
Win Rate: 0.403, Win Rate Per Hundred Games: 0.4
Games: 1100, Wins: 441
Win Rate: 0.400909, Win Rate Per Hundred Games: 0.38
Games: 1200, Wins: 483
Win Rate: 0.4025, Win Rate Per Hundred Games: 0.42
Games: 1300, Wins: 524
Win Rate: 0.403077, Win Rate Per Hundred Games: 0.41
Games: 1400, Wins: 566
Win Rate: 0.404286, Win Rate Per Hundred Games: 0.42
Games: 1500, Wins: 609
Win Rate: 0.406, Win Rate Per Hundred Games: 0.43
Games: 1600, Wins: 654
Win Rate: 0.40875, Win Rate Per Hundred Games: 0.45
Games: 1700, Wins: 710
Win Rate: 0.417647, Win Rate Per Hundred Games: 0.56
Games: 1800, Wins: 758
Win Rate: 0.421111, Win Rate Per Hundred Games: 0.48
Games: 1900, Wins: 798
Win Rate: 0.42, Win Rate Per Hundred Games: 0.4
Games: 2000, Wins: 847
Win Rate: 0.4235, Win Rate Per Hundred Games: 0.49
Games: 2100, Wins: 898
Win Rate: 0.427619, Win Rate Per Hundred Games: 0.51
Games: 2200, Wins: 931
Win Rate: 0.423182, Win Rate Per Hundred Games: 0.33
Games: 2300, Wins: 965
Win Rate: 0.419565, Win Rate Per Hundred Games: 0.34
Games: 2400, Wins: 1001
Win Rate: 0.417083, Win Rate Per Hundred Games: 0.36
Games: 2500, Wins: 1033
Win Rate: 0.4132, Win Rate Per Hundred Games: 0.32
Games: 2600, Wins: 1066
Win Rate: 0.41, Win Rate Per Hundred Games: 0.33
Games: 2700, Wins: 1108
Win Rate: 0.41037, Win Rate Per Hundred Games: 0.42
